step,agent_id,x,y,z,found_target
41,2,8.26465,10.080693,5.1531925,0
42,0,2.528678,13.068442,14.67772,0
42,1,15.0,6.7585473,14.375995,0
42,2,8.631179,10.393228,4.8214726,0
43,0,2.3400028,12.829767,14.389045,0
43,1,14.810274,6.5188212,14.089433,0
43,2,8.879197,10.780933,4.4837666,0
44,0,2.139234,12.628196,14.078803,0
44,1,14.621599,6.280146,13.800757,0
44,2,9.231664,10.979206,4.078457,0
45,0,2.0046175,12.409943,13.728096,0
45,1,14.432924,6.041471,13.512082,0
45,2,9.662214,11.151901,3.7239401,0
46,0,2.4507933,12.4182625,13.369732,0
46,1,14.275653,5.9516425,13.106793,0
46,2,10.027241,11.169672,3.3011842,0
47,0,2.8431394,12.187073,13.077386,0
47,1,14.055234,5.790304,12.786375,0
47,2,10.820824,12.686101,2.6349676,0
48,0,3.162323,11.9193,12.759614,0
48,1,13.866559,5.551629,12.4977,0
48,2,11.481216,14.108894,1.923916,0
49,0,3.413651,11.632328,12.422643,0
49,1,13.677884,5.312954,12.209024,0
49,2,12.188001,15.0,1.2659147,0
50,0,3.7329078,11.38034,12.089882,0
50,1,13.489209,5.074279,11.920349,0
50,2,12.85383,15.0,0.6982297,0
51,0,4.119274,11.140517,11.800059,0
51,1,13.300534,4.8356037,11.631674,0
51,2,13.478439,15.0,0.38850537,0
52,0,4.5734906,10.993861,11.507046,0
52,1,13.102017,4.587087,11.363765,0
52,2,14.009493,15.0,0.05557251,0
53,0,4.977012,10.740339,11.250629,0
53,1,12.881078,4.3161473,11.154014,0
53,2,14.545052,15.0,0.0,0
54,0,5.420696,10.446655,11.133313,0
54,1,12.67155,4.056619,10.912385,0
54,2,15.0,15.0,0.0,0
55,0,5.980541,10.318853,11.050074,0
55,1,12.462633,3.7977023,10.669196,0
55,2,15.0,15.0,0.0,0
56,0,6.395909,10.001034,10.926575,0
56,1,12.2321005,3.51717,10.491723,0
56,2,15.0,15.0,0.0,0
57,0,6.824919,9.679518,10.987633,0
57,1,11.995999,3.231069,10.33657,0
57,2,14.785191,14.820015,0.31305224,0
58,0,6.698052,9.319571,11.162203,0
58,1,11.835066,2.9794786,10.034979,0
58,2,14.578053,14.62236,0.6201898,0
59,0,6.607107,9.028097,11.473548,0
59,1,11.6438,2.8031633,9.697421,0
59,2,14.389379,14.383685,0.9088649,0
60,0,6.4676347,8.696484,11.690398,0
60,1,11.42414,2.6794772,9.354419,0
60,2,14.190851,14.165799,1.2073921,0
61,0,6.3132715,8.323272,11.76908,0
61,1,11.180599,2.5772564,9.024557,0
61,2,14.002176,13.927124,1.4960673,0
62,0,6.1733904,7.9351277,11.79115,0
62,1,10.937409,2.481262,8.691531,0
62,2,13.813501,13.688449,1.7847424,0
63,0,6.056827,7.535025,11.768613,1
63,1,10.70167,2.3715672,8.357201,1
63,2,13.643583,13.440838,2.082353,1
